tconst ordering nconst category job characters
1000000772 1161197416 1009724749 644663674 538588297 1594596577
1000000772 1756912528 622833016 644663674 538588297 1594596577
1000000772 1767767410 333890918 1392770497 1015832167 538588297
1000000772 1837452979 1131406620 644663674 538588297 1594596577
1000000772 1985697158 1572329420 644663674 538588297 1594596577
1000000772 2060172782 703784832 644663674 538588297 1594596577
1000000772 2125979147 880986057 644663674 538588297 1594596577
1000000772 390717533 598955877 644663674 538588297 422287308
1000000772 422092499 1089921041 644663674 538588297 1594596577
1000000772 616583178 748677188 1392770497 1015832167 538588297
1000000995 1161197416 580563021 1392770497 538588297 538588297
1000000995 1756912528 1316401435 1392770497 538588297 538588297
1000000995 1767767410 1248543149 1392770497 538588297 538588297
1000000995 1837452979 1604993621 480043935 538588297 1147603818
1000000995 1985697158 1329207101 1392770497 538588297 538588297
1000000995 2060172782 1661228667 1392770497 538588297 538588297
1000000995 2125979147 1150859210 1942041624 538588297 1103292111
1000000995 390717533 335140022 480043935 538588297 1155565851
1000000995 422092499 6295595 1942041624 538588297 581002091
1000000995 616583178 162069345 1392770497 538588297 538588297
1000001026 390717533 970888335 644663674 538588297 1100569893
1000001026 422092499 1294723636 1646020841 538588297 538588297
1000001148 390717533 2021841135 1443394659 538588297 538588297
1000001174 1161197416 238602210 1443394659 538588297 538588297
1000001174 1756912528 1490264474 1942041624 538588297 76560105
1000001174 1767767410 2082322905 1723787779 538588297 538588297
1000001174 1837452979 1357371036 1942041624 538588297 469796832
1000001174 1985697158 354624268 806426402 2130392896 538588297
1000001174 2125979147 1946070707 480043935 538588297 645232574
1000001174 390717533 397511199 1942041624 538588297 895443895
1000001174 422092499 178517921 1942041624 538588297 909238982
1000001174 616583178 230645881 1198496725 1198496725 538588297
1000001228 2125979147 376802231 1646020841 538588297 538588297
1000001228 390717533 639754470 480043935 538588297 272530713
1000001228 422092499 1434342492 1646020841 538588297 538588297
1000001303 1767767410 564639477 1392770497 538588297 538588297
1000001303 1837452979 1750700311 1723787779 538588297 538588297
1000001303 2125979147 1573731769 1942041624 538588297 593477837
1000001303 390717533 1213876187 480043935 538588297 1577927772
1000001303 422092499 1580131006 1942041624 538588297 199045332
1000001303 616583178 977989856 1392770497 538588297 538588297
1000001377 1161197416 2008444657 644663674 538588297 1594596577
1000001377 1756912528 762904432 644663674 538588297 1594596577
1000001377 1767767410 287735169 644663674 538588297 422287308
1000001377 1837452979 1695459536 644663674 538588297 1594596577
1000001377 1985697158 657965081 644663674 538588297 1594596577
1000001377 2060172782 346862655 644663674 538588297 1594596577
1000001377 2125979147 1326851765 644663674 538588297 1594596577
1000001377 390717533 1637955477 644663674 538588297 422287308
1000001377 422092499 1780187677 644663674 538588297 422287308
1000001377 616583178 1756713149 644663674 538588297 1594596577
1000002274 1767767410 1836875517 1198496725 1198496725 538588297
1000002274 1837452979 505654061 644663674 538588297 1594596577
1000002274 2125979147 1437735127 644663674 538588297 1594596577
1000002274 390717533 1889574111 644663674 538588297 422287308
1000002274 422092499 1720135176 644663674 538588297 1594596577
1000002274 616583178 1413645078 1198496725 1198496725 538588297
1000002398 1161197416 2095696307 1443394659 538588297 538588297
1000002398 1756912528 325697829 1942041624 538588297 67966742
1000002398 1767767410 542777583 1723787779 538588297 538588297
1000002398 1837452979 1314322706 480043935 538588297 1125524334
1000002398 1985697158 1437169941 806426402 2130392896 538588297
1000002398 2060172782 297667269 1942041624 538588297 842195638
1000002398 2125979147 1762131642 1942041624 538588297 1225115841
1000002398 390717533 1114074414 1942041624 538588297 1901411364
1000002398 422092499 833981257 1942041624 538588297 139380447
1000002398 616583178 768791086 1392770497 920631082 538588297
1000002487 390717533 394762872 1942041624 538588297 2081900430
1000002540 1161197416 1052630173 1198496725 1198496725 538588297
1000002540 1756912528 1533065613 1646020841 538588297 538588297
1000002540 1767767410 755617107 1723787779 538588297 538588297
1000002540 1837452979 342645865 1942041624 538588297 1398880115
1000002540 1985697158 775590428 1198496725 1198496725 538588297
1000002540 2060172782 462186960 1443394659 538588297 538588297
1000002540 2125979147 2093175404 1942041624 538588297 2042300262
1000002540 390717533 1860577784 1942041624 538588297 373035767
1000002540 422092499 1524156744 1942041624 538588297 1186619303
1000002540 616583178 821798975 1392770497 920631082 538588297
1000002594 1837452979 1049376944 1443394659 538588297 538588297
1000002594 2125979147 1693016065 1443394659 538588297 538588297
1000002594 390717533 664933384 1723787779 538588297 538588297
1000002594 422092499 313434240 1443394659 538588297 538588297
1000003037 1161197416 1783474542 644663674 538588297 422287308
1000003037 1767767410 1982212431 644663674 538588297 422287308
1000003037 1837452979 1737773596 644663674 538588297 1594596577
1000003037 1985697158 810168423 644663674 538588297 1594596577
1000003037 2125979147 1660590003 644663674 538588297 1594596577
1000003037 390717533 1917613014 644663674 538588297 1594596577
1000003037 422092499 204787748 644663674 538588297 1594596577
1000003037 616583178 1765027589 644663674 538588297 1594596577
1000003172 1161197416 1291958191 1392770497 1392770497 538588297
1000003172 1756912528 1339705172 1392770497 1392770497 538588297
1000003172 1767767410 319297126 1723787779 252345324 538588297
1000003172 1837452979 1719902128 2061247558 538588297 1594596577
1000003172 1985697158 1023244587 1392770497 1392770497 538588297
1000003172 2060172782 1425755001 1198496725 1198496725 538588297
1000003172 2125979147 1043341013 644663674 538588297 408891376
1000003172 390717533 1833827617 644663674 538588297 422287308
1000003172 422092499 1616928010 644663674 538588297 1426418559
1000003172 616583178 1198247546 1392770497 1392770497 538588297
1000003289 1161197416 186949774 1392770497 538588297 538588297
1000003289 1756912528 62340780 1392770497 538588297 538588297
1000003289 1767767410 718744163 1392770497 538588297 538588297
1000003289 1837452979 1321364905 1392770497 538588297 538588297
1000003289 1985697158 364129085 1392770497 538588297 538588297
1000003289 2060172782 210783053 1198496725 1198496725 538588297
1000003289 2125979147 1788384135 1723787779 538588297 538588297
1000003289 390717533 2093020752 480043935 538588297 538588297
1000003289 422092499 49232149 1942041624 538588297 538588297
1000003289 616583178 1359271878 1392770497 538588297 538588297
1000003916 2125979147 1288114553 1443394659 538588297 538588297
1000003916 390717533 807735728 1723787779 538588297 538588297
1000003916 422092499 952884893 1392770497 538588297 538588297
1000003939 1837452979 59500511 1198496725 1198496725 538588297
1000003939 2125979147 2122698674 1392770497 920631082 538588297
1000003939 390717533 2080531988 1723787779 538588297 538588297
1000003939 422092499 2025116886 1723787779 538588297 538588297
1000004097 390717533 306234570 1723787779 538588297 538588297
1000004424 390717533 1532522382 644663674 538588297 422287308
1000004424 422092499 1227418860 644663674 538588297 1342371510
1000004475 2125979147 811935725 806426402 538588297 538588297
1000004475 390717533 1803250479 1942041624 538588297 182824814
1000004475 422092499 163712033 1723787779 538588297 538588297
1000004521 390717533 1898149309 644663674 538588297 1476825376
1000004521 422092499 1038891782 1723787779 538588297 538588297
1000004550 1161197416 422016820 1198496725 1198496725 538588297
1000004550 1756912528 1828554299 644663674 538588297 1151904774
1000004550 1767767410 84787546 1723787779 538588297 538588297
1000004550 1837452979 391908354 644663674 538588297 71416435
1000004550 1985697158 798695613 1198496725 1198496725 538588297
1000004550 2060172782 245579866 644663674 538588297 71416435
1000004550 2125979147 3905700 644663674 538588297 1643175221
1000004550 390717533 1173324844 644663674 538588297 422287308
1000004550 422092499 2094414240 644663674 538588297 422287308
1000004550 616583178 1102421753 1198496725 1198496725 538588297
1000004952 390717533 941283114 644663674 538588297 1594596577
1000004952 422092499 879673033 644663674 538588297 1594596577
1000005003 390717533 1713244556 644663674 538588297 422287308
1000005003 422092499 491781964 1198496725 1198496725 538588297
1000005225 390717533 430863770 1942041624 538588297 713131246
1000005225 422092499 1717419362 806426402 538588297 538588297
1000005393 1161197416 2114395893 1443394659 538588297 538588297
1000005393 1756912528 1915823457 1942041624 538588297 975232240
1000005393 1767767410 1537304259 1392770497 603846017 538588297
1000005393 1837452979 1623738916 1942041624 538588297 1177716196
1000005393 1985697158 474655042 1443394659 538588297 538588297
1000005393 2060172782 2051269324 1942041624 538588297 1563896912
1000005393 2125979147 550875667 1942041624 538588297 1367232833
1000005393 390717533 1758465112 480043935 538588297 1851481424
1000005393 422092499 1897273139 480043935 538588297 361782451
1000005393 616583178 2085234368 1198496725 1198496725 538588297
1000005418 1837452979 2108017166 1198496725 1198496725 538588297
1000005418 2125979147 1854229057 1723787779 538588297 538588297
1000005418 390717533 421406653 644663674 538588297 1594596577
1000005418 422092499 1281147697 644663674 538588297 422287308
1000005935 1161197416 413619228 806426402 538588297 538588297
1000005935 1756912528 1679779714 806426402 538588297 538588297
1000005935 1767767410 845470382 1723787779 538588297 538588297
1000005935 1837452979 1414922839 1942041624 538588297 863112673
1000005935 1985697158 1898541441 806426402 538588297 538588297
1000005935 2125979147 1629019540 480043935 538588297 1169842515
1000005935 390717533 1023634845 1942041624 538588297 2136045381
1000005935 422092499 1345144104 1942041624 538588297 842831990
1000005935 616583178 410671747 1392770497 783523453 538588297
10000059 390717533 1331128724 644663674 538588297 1594596577
10000059 422092499 2028360793 1723787779 538588297 538588297
100000604 1161197416 29459577 480043935 538588297 538588297
100000604 1767767410 1233228544 1392770497 1392770497 538588297
100000604 1837452979 359800845 1942041624 538588297 960792308
100000604 1985697158 415441917 1942041624 538588297 922627715
100000604 2125979147 833791970 1942041624 538588297 1739515514
100000604 390717533 1455969353 1942041624 538588297 717959851
100000604 422092499 433603726 480043935 538588297 1930337335
100000604 616583178 1772068484 1198496725 1198496725 538588297
1000006170 390717533 208154361 480043935 538588297 538588297
1000006269 1837452979 1652734785 806426402 538588297 538588297
1000006269 2125979147 1824985679 480043935 538588297 1852175132
1000006269 390717533 916642188 1942041624 538588297 497873224
1000006269 422092499 244584757 1942041624 538588297 1880980667
100000632 1767767410 174568082 1198496725 1198496725 538588297
100000632 1837452979 630085002 644663674 538588297 1426418559
100000632 2125979147 1149601499 644663674 538588297 1426418559
100000632 390717533 687144383 644663674 538588297 422287308
100000632 422092499 1786902892 644663674 538588297 1276250296
100000632 616583178 2070739893 644663674 538588297 2045088950
1000006339 390717533 638925073 644663674 538588297 422287308
1000006339 422092499 1902691661 644663674 538588297 422287308
1000006595 1161197416 493111375 33101384 538588297 538588297
1000006595 1767767410 346162430 1198496725 1198496725 538588297
1000006595 1837452979 484314604 1392770497 920631082 538588297
1000006595 1985697158 2047192523 806426402 538588297 538588297
1000006595 2125979147 171862784 1723787779 538588297 538588297
1000006595 390717533 1056172605 480043935 538588297 1175674897
1000006595 422092499 690280508 1942041624 538588297 248458716
1000006595 616583178 812931840 1646020841 538588297 538588297
1000006613 2125979147 1389529780 1723787779 538588297 538588297
1000006613 390717533 1780102206 480043935 538588297 538588297
1000006613 422092499 225674866 1942041624 538588297 538588297
1000006830 390717533 1094281810 644663674 538588297 1594596577
1000006830 422092499 1388082765 1198496725 1198496725 538588297
1000007069 390717533 1640677292 644663674 538588297 1594596577
1000007362 390717533 1729418885 1942041624 538588297 1394629226
1000007362 422092499 1124454312 1942041624 538588297 1124647518
1000007482 1161197416 2060214093 806426402 538588297 538588297
1000007482 1756912528 221180818 806426402 538588297 538588297
1000007482 1767767410 1154087 1392770497 538588297 538588297
1000007482 1837452979 1943787684 1392770497 538588297 538588297
1000007482 1985697158 493939191 1646020841 538588297 538588297
1000007482 2060172782 1277105253 1443394659 538588297 538588297
1000007482 2125979147 71499284 1392770497 538588297 538588297
1000007482 390717533 351907212 644663674 538588297 422287308
1000007482 422092499 380903274 1723787779 538588297 538588297
