tconst parentTconst seasonNumber episodeNumber
100015761 967770525 1935597282 1884490263
100015776 130258603 1935597282 1143444929
1000158175 1108163371 1935597282 1313416320
1000159226 543361304 2093227591 2093227591
1000159477 728575314 1935597282 2141919703
1000159480 741036104 1367180859 195094073
1000159520 316917341 1935597282 2025523399
1000159549 165810859 1935597282 673423518
1000160348 1853377257 1935597282 698918059
1000160449 1785932252 1935597282 1391650222
1000160639 1662857722 1935597282 737534020
1000160939 957343284 1906157682 1935597282
1000161752 986198458 1935597282 510687177
1000161999 1517929030 644545014 277511426
1000162086 1195398225 1935597282 1559075880
1000162188 1523633132 1935597282 1559075880
1000162459 1980816799 2093227591 2093227591
1000162575 734603841 1935597282 344075432
1000162612 1591753501 1935597282 1945353820
100016311 1692315282 1935597282 698230995
1000163168 497076507 1935597282 1088893705
1000163363 222242512 1296460517 1685427516
1000163899 1637130521 2093227591 2093227591
1000164265 339236625 1296460517 1935597282
1000164397 1618165042 1935597282 560826481
1000164841 260939474 1935597282 2118949053
1000165347 677980330 1935597282 644545014
100016541 1059881133 1935597282 235220664
100016548 1540091999 2093227591 2093227591
1000165616 878142909 1906157682 719457268
1000165691 849045064 1935597282 316096957
1000165698 495253837 1935597282 2020578777
1000166226 980350501 1076155389 1296460517
1000166317 1722214822 1935597282 1549680228
1000166393 871041506 1935597282 644545014
1000166836 70916346 1935597282 1517538232
100016684 682775456 2093227591 2093227591
1000167990 1836889707 1076155389 1305968554
1000168077 97394680 1935597282 1880724405
1000169464 700329103 1296460517 673423518
1000170177 704286198 2093227591 2093227591
100017023 443920796 2093227591 2093227591
1000170554 992440813 1935597282 1076155389
10001706 1917105987 1935597282 1588962119
1000170661 239414001 1296460517 644545014
100017127 1973181594 1935597282 1935597282
1000171416 1826642205 1935597282 1059162631
100017153 1353649930 1076155389 644545014
1000172144 980860235 1935597282 1776595210
1000172294 1656999553 1906157682 1935597282
1000172821 478088875 2093227591 2093227591
100017298 939711406 1935597282 1367180859
100017301 1250169322 1935597282 198776592
1000173283 27534664 1935597282 277511426
100017335 153812923 1935597282 1323704328
1000173372 339071541 2093227591 2093227591
1000173670 674919335 1935597282 510687177
1000173922 1180334937 1935597282 818306921
1000174008 1490803644 250509367 279996746
1000174841 538879764 1367180859 1520826985
1000174844 2072361813 1935597282 1241497435
1000174921 47289773 1935597282 510687177
1000175680 1694893571 2093227591 2093227591
1000175780 300883071 1935597282 510687177
1000175860 536100566 1906157682 914181773
1000176216 137780881 2093227591 2093227591
100017670 1384703536 1076155389 639098870
1000176741 1300460177 510687177 510687177
1000176863 2005793982 2093227591 2093227591
1000176889 1762247820 1935597282 1852234051
1000177208 2017687070 1935597282 484454469
1000177302 1026045152 1935597282 1048283322
100017767 1597056747 1935597282 1367180859
1000177684 1474545322 1935597282 622221060
1000178061 333108868 2075431989 2081351294
1000178314 340144354 1935597282 761707672
1000178437 609962221 2093227591 2093227591
1000178545 576788680 1076155389 277511426
1000178897 2143346014 1906157682 510687177
1000178935 1454335403 1906157682 1296460517
1000178 947110684 1906157682 1076155389
1000178947 1780009701 2093227591 2093227591
100017897 78333755 1935597282 136520530
100017930 67292523 1935597282 1872303003
1000179580 1495141731 1935597282 1906157682
100017966 743262712 1935597282 277511426
1000180090 1690022761 277511426 1969069028
1000180426 2029659696 1935597282 1076155389
1000181281 262766045 2093227591 2093227591
1000181307 1457058545 1935597282 1726906930
1000181494 601409367 195094073 1123163253
1000181541 1869748358 2093227591 2093227591
1000181890 1298985887 644545014 1906157682
1000182205 347324266 1935597282 510687177
1000182868 737273511 2093227591 2093227591
1000182895 140641094 1296460517 439094786
1000182905 1488924608 644545014 673586419
1000183337 1223683607 2093227591 2093227591
1000183475 1928688244 1935597282 1948328691
1000183669 1431447610 1935597282 1935597282
1000183709 224516450 195094073 1715962796
1000183997 1034382501 277511426 2075431989
1000184400 886150367 2093227591 2093227591
1000184649 1464732126 914181773 427778729
1000184687 533860934 1935597282 1935597282
1000185119 403117676 1935597282 1906157682
1000185728 971944803 2093227591 2093227591
1000185800 1755609993 1935597282 1296460517
1000186020 637378644 644545014 1774904974
