nconst primaryName birthYear deathYear primaryProfession knownForTitles
100003932 603266508 2126297961 2126297961 187834714 2087559253
1000039347 2105051712 2126297961 2126297961 562515633 2024159816
1000039369 723420508 2126297961 2126297961 391196480 1503800767
1000039763 774205964 2126297961 2126297961 641601868 395571750
1000039926 292363038 2126297961 2126297961 48867219 2126297961
1000040321 1205460099 2126297961 2126297961 1906856177 7041322
1000040394 1086063227 2126297961 2126297961 90579072 1367604007
1000040526 17049777 2126297961 2126297961 922287471 2128671169
1000040819 473453935 2126297961 2126297961 1327487313 1943602444
1000040881 1647013929 2126297961 2126297961 48867219 2137522177
1000040982 112005146 2126297961 2126297961 318302405 1616875337
1000041240 2127694946 2126297961 2126297961 1807509172 1251968709
1000041444 1575668614 2126297961 2126297961 90579072 2012037971
1000041582 1726145534 2126297961 2126297961 1980261319 445128810
1000041614 203901133 2126297961 2126297961 1182514761 992820613
1000041804 1798930281 2126297961 2126297961 90579072 962325115
1000041897 34857092 2126297961 2126297961 48867219 1665202880
1000041965 1994597342 2126297961 2126297961 1583122889 784830654
1000042158 1375790884 2126297961 2126297961 641601868 435660424
1000042234 1964357456 2126297961 2126297961 90579072 1449215234
1000042261 1336462358 2126297961 2126297961 1622169622 598193795
1000042405 1151185334 2126297961 2126297961 36366385 924658622
1000042537 1961609414 2126297961 2126297961 48867219 2126297961
1000042769 892793406 2126297961 2126297961 641601868 491687949
1000042973 291231112 2126297961 2126297961 1181129578 774737867
1000043167 278083539 2126297961 2126297961 48867219 1250554713
1000043276 1799007271 2126297961 2126297961 48867219 2126297961
1000043374 952580893 2126297961 2126297961 90579072 178905578
1000043665 1031872475 2126297961 2126297961 48867219 817157257
1000043846 1742210963 2126297961 2126297961 641601868 806961459
1000043910 135475208 2126297961 2126297961 239828067 649483601
1000044087 149759994 2126297961 2126297961 48867219 2126297961
1000044162 1058998787 2126297961 2126297961 48867219 1110649225
1000044243 926693074 1990290065 86833180 90579072 1726811755
100004438 670269228 2126297961 2126297961 2074521603 627496179
1000044541 1844527670 2126297961 2126297961 48867219 291674168
1000045039 678676167 2126297961 2126297961 48867219 275542947
1000045143 459930367 2126297961 2126297961 1190972371 622284792
1000045434 1477583087 2126297961 2126297961 1190972371 2077641990
1000045473 1574400322 2126297961 2126297961 289259722 1570388376
1000045511 306531563 2126297961 2126297961 641601868 1013389246
1000045575 647805158 2126297961 2126297961 641601868 1359176369
1000045610 1723223798 2126297961 2126297961 48867219 2126297961
1000045623 167842965 2126297961 2126297961 562515633 2086166108
1000045754 415332020 2119646189 1113887225 641601868 426444380
1000045987 1977815222 2126297961 2126297961 1330519838 737841866
1000046244 435274974 2126297961 2126297961 556859920 244799638
1000046382 837901258 2126297961 2126297961 318302405 1291809705
100004660 906862650 2126297961 2126297961 641601868 941498760
1000046701 259632125 2126297961 2126297961 318302405 1544906578
1000046705 45456482 2126297961 2126297961 562515633 350531398
1000046744 1416194285 2126297961 2126297961 1181129578 2126297961
1000046817 1730010840 2126297961 2126297961 48867219 1334185248
1000046985 123585950 2126297961 2126297961 759890543 1357077542
1000047132 432331988 2126297961 2126297961 1980261319 2126297961
1000047188 779467201 2126297961 2126297961 48867219 2126297961
1000047309 586353981 2126297961 2126297961 562515633 1906806066
1000047311 1830588554 2126297961 2126297961 414133008 366951769
1000047517 841910718 2126297961 2126297961 48867219 2126297961
1000047632 1505721877 2126297961 2126297961 90579072 373620076
1000047716 178782322 2126297961 2126297961 1892699062 875218185
1000047874 1490736492 2126297961 2126297961 48867219 319756338
1000047889 443641767 2126297961 2126297961 1918779849 1530895555
1000048088 823862734 2126297961 2126297961 641601868 911382741
1000048118 81533011 2126297961 2126297961 90579072 1425863172
1000048199 618900361 2126297961 2126297961 90579072 1998797111
1000048493 1005048032 816370464 2126297961 48867219 1797812175
1000048535 1230327396 2126297961 2126297961 1897236228 1584296059
1000048634 861379868 2126297961 2126297961 2094793598 1985890514
100004890 113594321 2126297961 2126297961 1190972371 1922577054
100004892 1567411187 2126297961 2126297961 48867219 2126297961
1000049014 629830767 2126297961 2126297961 641601868 1929340193
1000049087 159114290 2126297961 2126297961 48867219 1850559921
1000049868 588362205 2126297961 2126297961 641601868 23826684
1000049945 1478924163 2126297961 2126297961 641601868 1042994285
1000049972 806567807 2126297961 2126297961 641601868 225305703
100005011 1984736580 2126297961 2126297961 1190972371 1007780197
100005035 1927115535 2126297961 2126297961 48867219 2119443758
1000050720 1525414142 2126297961 2126297961 1190972371 1125383329
1000050918 1350831035 2126297961 2126297961 48867219 2126297961
1000051047 1875783835 2126297961 2126297961 48867219 492981289
1000051229 1799488506 1962174298 1113887225 1496590325 1976290306
1000051252 623698023 2126297961 2126297961 641601868 17415771
1000051638 1094626178 2126297961 2126297961 48867219 119588270
1000051644 1710746746 2126297961 2126297961 562375475 1927959839
1000051743 1650710685 2126297961 2126297961 48867219 2126297961
1000051810 1663167401 2126297961 2126297961 90579072 1221814338
1000052078 207648397 2126297961 2126297961 641601868 2039529930
1000052433 2081754358 2126297961 2126297961 641601868 1797764069
1000052586 1743731568 2126297961 2126297961 864422994 833114350
1000052678 292543598 2126297961 2126297961 48867219 1989844583
100005274 2073615265 2126297961 2126297961 598501118 1254975482
1000052817 2027570493 2126297961 2126297961 48867219 2126297961
100005318 1428868060 2126297961 2126297961 318302405 178828738
1000053218 1643379255 2126297961 2126297961 1333353105 1410852744
1000053310 1981970985 2126297961 2126297961 48867219 437573731
1000053333 764927580 2126297961 2126297961 48867219 1750173916
1000053500 1364663394 2126297961 2126297961 10793120 1938090620
1000053514 1665197731 2126297961 2126297961 48867219 1508882855
1000053884 1077148781 2126297961 2126297961 641601868 224704269
1000053979 204198893 2126297961 2126297961 1190972371 1962529553
1000054003 716972795 2126297961 2126297961 1133781051 512019481
1000054106 1323610562 2126297961 2126297961 48867219 2126297961
1000054112 919448649 2126297961 2126297961 289259722 514037462
1000054147 1796099520 2126297961 2126297961 48867219 1625397914
1000054158 1181211199 1080348644 2126297961 641601868 853592218
1000054223 1886741494 2126297961 2126297961 48867219 453233840
1000054429 18795416 2126297961 2126297961 556859920 1506376091
1000054462 328073712 820592670 2126297961 436964135 2128902292
1000054468 917972076 2126297961 2126297961 90579072 492355636
10000545 526748859 2126297961 2126297961 48867219 1876123987
1000054598 2066994194 2126297961 2126297961 90579072 2126297961
1000054604 492468855 2126297961 2126297961 829581343 446106612
100005467 2063040840 2126297961 2126297961 641601868 51410629
1000054891 2063531634 2126297961 2126297961 431574259 2126297961
1000054984 264300477 2126297961 2126297961 562515633 1412431188
1000055222 893027676 2126297961 2126297961 48867219 2126297961
1000055233 180282988 2126297961 2126297961 641601868 1608109609
1000055256 1630965404 2126297961 2126297961 1946546233 402285426
1000055749 123796681 2126297961 2126297961 641601868 1674542912
1000055779 1486655181 2126297961 2126297961 90579072 315232968
1000056155 1990661381 2126297961 2126297961 641601868 892648696
1000056168 1217398850 2126297961 2126297961 641601868 361808167
1000056273 2066636326 2126297961 2126297961 48867219 2126297961
1000056281 1354409777 2126297961 2126297961 48867219 1550618156
1000056297 1839728911 2126297961 2126297961 641601868 152328475
1000056367 1654181879 2126297961 2126297961 1181129578 97896404
1000056373 1614880323 2126297961 2126297961 641601868 630837950
1000056392 1665597847 2126297961 2126297961 391196480 620872869
1000056522 696488825 2126297961 2126297961 562515633 467736135
100005660 847471164 2126297961 2126297961 22758480 1615436101
1000056660 1233467769 2126297961 2126297961 318302405 2121710141
1000056803 1073188830 2126297961 2126297961 48867219 2126297961
1000056825 1625163588 2126297961 2126297961 1190972371 133913132
1000056848 172619815 2126297961 2126297961 90579072 2109391654
1000057061 791237612 61695364 1586678469 1897236228 378068616
1000057535 739725808 2126297961 2126297961 1333353105 2126297961
1000058080 1572577346 2126297961 2126297961 90579072 1890100656
1000058281 1820449387 2126297961 2126297961 431574259 1192713919
1000059200 1684434687 2126297961 2126297961 93407817 2028556318
1000059297 843691456 1950343503 2126297961 105119284 441048247
1000059339 482899605 2126297961 2126297961 562515633 1108069980
1000059587 497798340 2126297961 2126297961 48867219 2030611534
1000059879 958964152 2126297961 2126297961 48867219 2126297961
1000059890 103611303 2126297961 2126297961 641601868 866816836
1000060151 1116547905 2126297961 2126297961 562515633 1041924006
1000060395 1378422150 2126297961 2126297961 641601868 1433107916
1000060815 150620930 2126297961 2126297961 318302405 1199879433
1000061153 827699955 2126297961 2126297961 641601868 2068716399
1000061159 1076420801 2126297961 2126297961 289259722 2126297961
1000061208 386503281 2126297961 2126297961 1067209666 1183116893
100006147 1027202780 2126297961 2126297961 848065031 2126297961
1000061658 542003662 2126297961 2126297961 641601868 1689572644
1000061679 587431075 2126297961 2126297961 2094793598 455734249
1000061792 723612763 2126297961 2126297961 1190972371 1017062661
1000062363 1089559465 2126297961 2126297961 641601868 456060262
100006274 1528530938 2126297961 2126297961 48867219 2126297961
100006289 1629608109 2126297961 2126297961 90579072 2126297961
1000062921 1699761989 2126297961 2126297961 399334379 1184139585
100006308 392404922 2126297961 2126297961 318302405 774526636
1000063137 44298556 2126297961 2126297961 641601868 1784010414
1000063208 1772043952 632242670 2126297961 641601868 1660678809
1000063232 1701507903 290510269 872935958 1139434562 1667553318
1000063340 1405976453 2126297961 2126297961 237964115 209048660
1000063874 530721445 2126297961 2126297961 641601868 1955280812
1000063972 720842911 2126297961 2126297961 20611270 1804244731
1000064060 1111147339 2126297961 2126297961 556859920 2072823079
1000064089 1996426582 2126297961 2126297961 1997066297 760624101
1000064201 239147987 2126297961 2126297961 1770517546 978095774
1000064380 1477101314 2126297961 2126297961 845616205 1892161768
1000064506 908858587 2126297961 2126297961 1897236228 1047967289
1000064615 171451671 2126297961 2126297961 48867219 650065785
1000064622 2016064341 2126297961 2126297961 1882691207 293528160
1000064644 1282502355 2126297961 2126297961 48867219 2126297961
1000065292 1509401629 2126297961 2126297961 90579072 416036565
1000065320 1774271043 2126297961 2126297961 556859920 1255520448
1000065401 1391715948 2126297961 2126297961 641601868 1092065324
1000065652 1935800539 2126297961 2126297961 48867219 2126297961
1000066055 220236856 2126297961 2126297961 1838653778 1593039862
100006624 1723318836 2126297961 2126297961 641601868 967069773
1000066346 622008567 2126297961 2126297961 90579072 1721051891
1000066348 338506055 2126297961 2126297961 1980261319 1395565227
1000066440 595025248 2126297961 2126297961 1980261319 96836948
1000066769 33146746 2126297961 2126297961 90579072 669901463
1000066807 400484125 2126297961 2126297961 48867219 1584835698
1000066886 222230954 2126297961 2126297961 90579072 888516614
100006701 1568950052 2126297961 2126297961 641601868 519784689
100006717 1137834009 2126297961 2126297961 90579072 1610314151
1000067222 1076513527 2126297961 2126297961 48867219 1099764388
1000067386 1723494053 2126297961 2126297961 48867219 80600509
1000067500 473128919 2126297961 2126297961 562515633 379350675
100006761 1789535878 2126297961 2126297961 641601868 1440068585
1000067704 421907138 2126297961 2126297961 2074521603 710091331
1000067779 38276038 2126297961 2126297961 641601868 1462089367
1000067839 355444815 2126297961 2126297961 48867219 1674479396
1000067888 700100697 2126297961 2126297961 641601868 860699310
1000068002 1552094085 2126297961 2126297961 1190972371 978170654
1000068064 1082487474 2126297961 2126297961 90579072 816112424
1000068450 1515733102 2126297961 2126297961 562515633 1963112018
1000068866 1507980478 2126297961 2126297961 2017513776 2126297961
1000069237 803548622 2126297961 2126297961 48867219 2126297961
1000069418 1263140904 2126297961 2126297961 641601868 605716368
1000069813 33926977 2126297961 2126297961 641601868 355577189
1000070134 2143438033 2126297961 2126297961 562375475 462184120
1000070386 266933969 2126297961 2126297961 48867219 877331702
1000070564 1650996989 2126297961 2126297961 48867219 2126297961
1000070624 403259449 2126297961 2126297961 48867219 1688206377
1000070762 1503307849 2126297961 2126297961 431574259 397682492
1000070877 1358927928 213192496 2126297961 1651663233 1791009772
